feature,mean_abs_shap
1-acyl LPC(27_0),0.21664517
age at sampling,0.16434123
PC(O-48_3),0.12879401
PC(52_3),0.08361671
PC(O-38_5),0.035919268
HexCer(t42_2),0.03259976
PC(O-48_4),0.031851888
PE(O+P-44_9),0.027089816
LPC(29_0),0.021623576
PC(46_1),0.020294404
TG(67_3),0.017686196
LPC(30_0),0.017139263
PC(44_8),0.015494631
PC(O-46_1),0.015054744
Cer(d44_3),0.011203132
PC(48_4),0.010444693
TG(73_4),0.010078333
TG(63_5),0.010026382
TG(63_4),0.009851549
PC(41_2),0.0092677055
LPC(P-22_3),0.008954742
TG(73_5),0.008724146
1-acyl LPC(25_0),0.008591748
TG(O-60_3),0.0072385096
PC(O+P-48_7),0.006915255
PE(O+P-40_2),0.006373754
PC(50_4),0.0062478785
TG(67_5),0.005806278
1-acyl LPC(24_0),0.005685601
DG(43_1),0.0055613015
1-acyl LPC(26_0),0.0053754705
TG(55_10),0.004893513
Cer(d42_4),0.0048927893
LPC(30_1),0.0047830897
1-acyl LPC(28_0),0.004355334
TG(55_4),0.0042453064
PC(43_1),0.00419868
TG(67_2),0.003903396
TG(69_4),0.003860965
TG(62_3),0.0029702673
PC(52_4),0.0024939077
TG(54_2),0.00240954
1-acyl LPC(31_0),0.0017604135
PC(38_2),0.0017551814
TG(72_4),0.0003298228
Hex2Cer(d44_1),0.0
PC(O-42_0),0.0
PC(O-46_3),0.0
PC(O-46_8),0.0
TG(71_4),0.0
TG(O-54_0),0.0
